Model,MAE,MSE,RMSE,R²
Linear Regression,143187.80429160807,52291717658.99893,228673.82372934365,0.6541020314679634
Ridge,143196.02284011545,52299953835.22714,228691.8315883345,0.6540475510119113
Lasso,143187.84614838852,52291736595.22607,228673.86513378844,0.6541019062090736
Decision Tree,138447.69537261734,61450597163.54087,247892.30960951748,0.5935181004655444
Random Forest,120988.75018920391,44609117428.52546,211208.7058540094,0.7049207066182759
Gradient Boosting,126952.85816667517,44010273071.04076,209786.25567715525,0.7088819275533313
Support Vector Regressor,229730.35761961952,161040896717.98785,401299.01160853595,-0.06524936489140964
XGBoost,122802.2457603227,44999659175.28228,212131.2310228795,0.7023373606721539
